frame_idx,x,y,w,h,method
2,421,162,43,131,CSRT-pre
3,419,161,44,134,CSRT-pre
4,418,161,44,134,CSRT-pre
5,417,161,44,134,CSRT-pre
6,416,161,43,131,CSRT-pre
7,414,160,44,134,CSRT-pre
8,414,159,44,134,CSRT-pre
9,413,161,43,131,CSRT-pre
10,412,160,44,134,CSRT-pre
11,411,160,44,134,CSRT-pre
12,410,163,43,131,CSRT-pre
13,410,165,42,128,CSRT-pre
14,408,165,42,128,CSRT-pre
15,407,165,42,128,CSRT-pre
16,405,165,42,128,CSRT-pre
17,403,164,43,131,CSRT-pre
18,403,164,43,131,CSRT-pre
19,400,162,45,136,CSRT-pre
20,399,162,46,139,CSRT-pre
21,397,162,46,139,CSRT-pre
22,395,161,47,142,CSRT-pre
23,393,160,47,145,CSRT-pre
24,393,162,47,142,CSRT-pre
25,391,163,47,142,CSRT-pre
26,389,162,47,145,CSRT-pre
27,388,162,48,148,CSRT-pre
28,386,164,47,145,CSRT-pre
29,384,164,48,148,CSRT-pre
30,381,164,48,148,CSRT-pre
31,380,164,48,148,CSRT-pre
32,377,163,48,148,CSRT-pre
33,375,162,49,150,CSRT-pre
34,373,163,49,150,CSRT-pre
35,371,160,51,157,CSRT-pre
36,370,161,50,153,CSRT-pre
37,369,161,50,153,CSRT-pre
38,368,161,50,153,CSRT-pre
39,366,161,51,157,CSRT-pre
40,366,161,51,157,OpticalFlow
41,364,162,51,157,OpticalFlow
42,362,163,51,157,OpticalFlow
43,360,163,51,157,OpticalFlow
44,359,163,51,157,OpticalFlow
45,356,171,51,157,OpticalFlow
46,356,156,51,157,OpticalFlow
47,345,180,51,157,OpticalFlow
76,307,165,68,177,CSRT-post
77,306,165,68,177,CSRT-post
78,306,167,67,174,CSRT-post
79,306,166,68,177,CSRT-post
80,306,168,67,174,CSRT-post
81,305,169,67,174,CSRT-post
82,304,169,67,174,CSRT-post
83,304,171,65,170,CSRT-post
84,304,173,64,167,CSRT-post
85,303,174,64,167,CSRT-post
86,302,173,64,167,CSRT-post
87,301,174,64,167,CSRT-post
88,299,172,65,170,CSRT-post
89,299,171,67,174,CSRT-post
90,297,169,68,177,CSRT-post
91,295,168,69,181,CSRT-post
92,295,168,69,181,CSRT-post
93,292,166,72,188,CSRT-post
94,291,166,72,188,CSRT-post
95,290,167,72,188,CSRT-post
96,289,170,71,184,CSRT-post
97,287,169,72,188,CSRT-post
98,285,171,72,188,CSRT-post
99,281,170,74,192,CSRT-post
100,279,170,75,195,CSRT-post
101,275,170,77,199,CSRT-post
102,274,170,77,199,CSRT-post
103,269,168,78,203,CSRT-post
104,268,168,78,203,CSRT-post
105,264,167,80,207,CSRT-post
106,261,167,80,207,CSRT-post
107,261,168,78,203,CSRT-post
108,258,167,80,207,CSRT-post
109,256,168,78,203,CSRT-post
110,255,168,78,203,CSRT-post
111,253,168,78,203,CSRT-post
112,252,170,78,203,CSRT-post
113,249,170,80,207,CSRT-post
114,246,171,80,207,CSRT-post
115,245,173,80,207,CSRT-post
116,243,175,78,203,CSRT-post
117,241,176,78,203,CSRT-post
118,238,174,80,207,CSRT-post
119,235,174,80,207,CSRT-post
120,231,172,81,212,CSRT-post
121,229,173,81,212,CSRT-post
122,226,171,83,216,CSRT-post
123,224,170,85,220,CSRT-post
124,221,169,86,224,CSRT-post
125,218,169,86,224,CSRT-post
126,213,169,88,229,CSRT-post
127,210,170,88,229,CSRT-post
128,208,170,88,229,CSRT-post
129,204,172,88,229,CSRT-post
130,202,176,86,224,CSRT-post
131,196,175,88,229,CSRT-post
132,192,176,88,229,CSRT-post
133,186,176,90,234,CSRT-post
134,180,174,92,238,CSRT-post
135,176,172,93,243,CSRT-post
136,172,171,95,248,CSRT-post
137,168,169,97,253,CSRT-post
138,162,167,99,258,CSRT-post
139,162,170,95,248,CSRT-post
140,157,168,97,253,CSRT-post
141,154,168,97,253,CSRT-post
142,150,172,95,248,CSRT-post
143,146,172,97,253,CSRT-post
144,142,175,97,253,CSRT-post
